day,profit,CO2_captured
1,69.611591,3.922412
2,37.234388,4.067867
3,7.058784,0.799659
4,20.061974,2.398976
5,25.110752,3.534153
6,55.679635,3.593204
7,-2.923513,2.804067
8,42.146710,6.861412
9,57.851360,4.797953
10,36.086354,3.735463
11,65.194695,5.034694
12,-9.120857,3.224725
13,16.871958,0.730086
14,65.337103,8.040071
15,0.000000,0.000000
16,42.541495,4.824043
17,0.000000,0.000000
18,100.095251,5.597612
19,48.226839,6.397270
20,84.167319,5.571522
21,0.897388,0.026090
22,884.802107,5.597612
23,1044.842410,6.134440
24,263.829853,5.834353
25,81.096933,5.481657
26,47.178973,5.739656
27,67.521559,5.597612
28,25.418136,4.797953
29,23.888047,0.657614
30,90.657435,5.713566
31,-21.788797,0.026090
32,48.625427,5.597612
33,74.882594,5.528039
34,25.267647,4.604695
35,35.676673,5.060784
36,93.844004,6.397270
37,119.433226,6.134440
38,69.908218,5.860443
39,77.610562,6.397270
40,84.251416,6.397270
41,77.865650,7.996588
42,107.873777,7.127356
43,78.516937,6.204012
44,81.678271,9.858737
45,103.045284,8.796247
46,124.951677,13.524627
47,82.943811,11.264796
48,84.088160,6.934098
49,18.211617,1.599318
50,98.948374,5.834353
51,51.473735,6.960188
52,155.505075,9.059078
53,12.307105,4.797953
54,36.169716,3.856249
55,38.510529,5.713566
56,59.788897,5.959219
57,24.725401,2.721073
58,64.264637,6.397270
59,120.459633,6.397270
60,60.632361,7.338974
61,88.658139,4.797953
62,63.221164,6.732788
63,17.221152,2.863118
64,126.010107,11.732051
65,132.265129,7.317716
66,137.889189,6.397270
67,114.544552,6.539315
68,107.898704,6.397270
69,112.023893,6.934098
70,141.484226,6.660101
71,97.350232,7.996588
72,187.981900,11.994882
73,97.722196,7.996588
74,96.257635,10.395565
75,171.944493,11.852837
76,83.024161,4.114249
77,66.968507,7.223019
78,27.750446,0.730086
79,139.892294,5.667185
80,172.839050,9.595906
81,147.985275,7.196929
82,157.463952,6.934098
83,109.107027,6.660101
84,137.716717,7.196929
