day,profit,CO2_captured
1,84.991601,4.765554
2,72.347945,4.561212
3,-17.611604,0.262831
4,51.208597,3.998294
5,39.969902,8.796247
6,64.315231,9.931423
7,68.599183,15.631569
8,72.002846,12.020972
9,111.379912,14.324286
10,34.260351,8.865820
11,109.494486,13.594200
12,35.754482,11.732051
13,29.153727,12.915327
14,113.796309,15.072731
15,19.239564,7.459760
16,78.778628,13.594200
17,15.324457,12.330400
18,194.891457,15.657659
19,79.193659,12.724968
20,88.711444,13.663773
21,96.917193,15.193517
22,922.230571,5.597612
23,1067.787357,8.796247
24,331.751413,15.051473
25,110.723842,12.936586
26,103.878241,12.794541
27,120.827212,13.594200
28,35.178948,7.996588
29,36.278508,11.994882
30,124.306315,11.125650
31,17.948723,9.665479
32,58.048128,10.395565
33,85.359098,5.528039
34,22.125400,4.867526
35,88.272476,9.569816
36,128.136290,16.019266
37,118.936617,13.594200
38,114.311789,12.794541
39,150.302582,15.993176
40,94.454076,12.794541
41,163.937434,15.167428
42,142.236364,15.877221
43,120.466308,15.335562
44,180.074219,16.723262
45,170.093114,15.993176
46,160.514046,16.062749
47,155.069000,15.993176
48,133.966190,15.923603
49,28.769195,11.264796
50,159.263673,15.993176
51,98.353620,13.594200
52,206.017590,12.794541
53,61.194730,9.569816
54,33.288839,4.754470
55,55.370863,5.641095
56,76.428426,6.423360
57,45.409830,7.196929
58,87.013632,13.331369
59,163.070126,15.456348
60,103.089029,15.193517
61,124.102868,12.794541
62,96.283910,14.393859
63,83.569364,11.125650
64,166.896212,15.193517
65,131.911346,11.264796
66,187.418353,11.968792
67,114.833757,12.820631
68,177.313820,11.852837
69,98.114828,12.136927
70,158.169709,10.395565
71,180.705328,15.123944
72,238.196100,16.062749
73,130.320758,11.994882
74,163.147309,15.993176
75,196.331466,15.193517
76,99.967158,10.325992
77,111.182441,10.800655
78,16.690083,3.998294
79,167.520854,9.918002
80,225.788940,15.335562
81,203.093418,12.794541
82,164.252372,11.994882
83,136.300471,9.595906
84,180.247858,14.393859
85,150.131318,11.169133
86,115.959311,12.820631
87,49.304114,11.994882
88,220.881566,16.792835
89,300.360453,15.993176
90,129.069402,12.794541
91,290.222089,7.970498
92,211.813580,13.620290
93,218.400360,15.193517
94,227.552275,11.994882
95,195.408549,7.733757
96,136.734151,6.660101
97,118.699355,7.196929
98,117.918518,7.854543
99,207.493015,7.875802
100,195.297272,10.658395
101,130.919614,7.196929
102,221.522225,7.532447
103,218.272757,7.519026
104,201.551143,5.597612
105,251.139156,6.539315
106,191.692053,6.327698
107,256.223128,11.801624
108,341.470067,5.860443
109,299.234240,7.054885
110,291.965428,7.269401
111,41.470469,2.004408
112,415.625472,6.861412
113,239.501422,9.595906
114,235.873275,7.532447
115,207.179332,6.835322
116,206.268264,6.758878
117,300.553806,8.197899
118,350.000179,7.795278
119,268.915214,7.661071
120,256.056030,7.996588
121,267.856872,8.533416
122,223.286891,7.795278
123,197.219997,7.661071
124,178.797713,7.196929
125,151.233768,6.397270
126,211.168422,7.927015
127,274.363788,7.602020
128,257.578928,7.996588
129,285.110413,8.391157
130,262.127864,7.803330
131,195.577100,7.795278
132,179.147849,7.661071
133,176.725684,7.996588
134,278.950297,7.996588
135,379.866825,8.796247
136,237.488238,9.595906
137,229.922353,7.996588
138,211.269468,7.532447
139,187.588653,6.861412
140,176.676870,7.196929
141,173.276199,7.196929
142,335.397425,8.796247
143,817.818083,7.996588
144,168.936402,7.196929
145,414.661685,6.134440
146,295.435683,6.660101
147,292.907085,7.196929
148,497.131816,8.770157
149,343.262794,9.157854
150,274.827005,8.391157
151,171.753586,7.266502
152,213.456430,7.996588
153,163.329985,6.397270
154,178.128030,6.732788
155,188.924957,6.861412
156,253.681944,8.332106
157,242.734695,8.318685
158,359.520816,6.874833
159,292.824405,6.861412
160,269.398759,7.196929
161,292.524285,7.996588
162,302.039919,7.927015
163,120.684077,4.867526
164,256.040188,8.796247
165,355.407495,10.132734
166,294.630138,7.459760
167,353.452482,8.533416
168,185.388082,5.860443
169,295.990857,8.796247
170,335.944956,8.533416
171,300.413688,7.459760
172,165.502552,6.255226
173,36.077670,1.741362
174,151.811399,4.797953
175,300.865883,5.597612
176,854.556979,7.170839
177,240.684315,6.758878
178,156.797816,6.861412
179,98.592959,5.597612
180,35.364083,3.198635
181,276.146340,6.397270
182,174.060282,7.733757
183,211.836287,11.458054
184,261.584009,11.195223
185,360.391447,11.994882
186,191.434872,8.796247
187,320.332626,8.770157
188,313.667251,8.358195
189,200.670148,7.661071
190,214.530768,7.196929
191,262.021880,7.996588
192,282.723701,7.996588
193,307.751270,7.196929
194,358.829908,7.996588
195,520.276483,7.996588
196,534.256022,7.996588
197,431.973706,7.196929
198,530.989464,7.996588
199,92.850959,3.998294
200,200.578411,6.134440
201,217.907095,6.660101
202,1428.313438,8.332106
203,236.460586,7.398240
204,221.889122,6.660101
205,264.176620,7.532447
206,237.574557,7.661071
207,199.237459,6.397270
208,264.208728,7.127356
209,346.149453,5.525140
210,93.473832,3.340680
211,56.588075,2.398976
212,296.454220,3.998294
213,369.164427,4.535122
214,346.045941,5.060784
215,194.711604,5.597612
216,103.292556,3.998294
217,76.685055,1.336487
218,200.784476,6.660101
219,392.027154,7.196929
220,216.079485,6.397270
221,273.512051,7.170839
222,225.101170,6.960188
223,290.633921,6.660101
224,221.211235,7.733757
225,269.452560,6.660101
226,213.483197,7.196929
227,146.548104,4.797953
228,177.996514,4.771863
229,112.584923,2.398976
230,152.982576,5.623702
231,190.618195,6.397270
232,196.427215,6.397270
233,400.140088,7.532447
234,557.992143,7.634981
235,153.410726,5.623702
236,157.084208,5.528039
237,60.318245,2.442459
238,0.369677,1.555835
239,31.729633,2.804067
240,74.595483,6.035663
241,0.000000,0.000000
242,0.617887,0.026090
243,58.900293,2.398976
244,53.646667,2.398976
245,93.158664,0.799659
246,110.342241,4.797953
247,185.483345,6.255226
248,263.977981,5.597612
249,593.172421,3.340680
250,245.372767,3.972204
251,195.626969,4.797953
252,84.091626,2.425066
253,64.063181,1.599318
254,158.770693,3.998294
255,269.877623,6.327698
256,49.715559,2.468549
257,71.468487,4.728380
258,184.788636,6.324799
259,152.502237,7.076143
260,140.832804,6.660101
261,83.415336,3.998294
262,-14.588969,0.000000
263,142.899117,4.771863
264,157.069197,5.623702
265,211.186462,7.196929
