day,profit,CO2_captured
1,63.800414,4.327503
2,82.467835,4.462435
3,22.779264,0.657614
4,48.444293,4.797953
5,9.472810,3.077849
6,51.167660,3.391893
7,-3.380906,2.804067
8,54.797606,5.798922
9,64.941129,4.261125
10,-4.792841,3.198635
11,70.284593,5.597612
12,1.206860,2.398976
13,-0.801593,0.799659
14,84.253902,7.970498
15,0.000000,0.000000
16,23.132627,4.024384
17,19.569336,2.256932
18,55.563951,6.539315
19,39.007524,6.397270
20,60.890576,4.797953
21,48.850318,5.597612
22,73.943854,6.397270
23,77.392043,5.597612
24,51.074897,5.597612
25,58.507616,5.597612
26,60.274409,6.397270
27,58.361314,5.597612
28,22.940313,4.797953
29,16.429593,0.536828
30,86.475809,5.834353
31,-21.951831,0.026090
32,46.657688,5.334781
33,61.714688,5.060784
34,2.463828,3.998294
35,70.941153,6.327698
36,97.462697,6.466843
37,97.410911,6.134440
38,86.289605,5.860443
39,78.521944,6.134440
40,50.789638,5.860443
41,86.249377,7.532447
42,63.970347,6.791839
43,85.355657,6.397270
44,73.423032,8.865820
45,114.712148,10.932392
46,107.351389,13.594200
47,83.799236,9.059078
48,68.435046,5.597612
49,57.271118,5.334781
50,90.173162,6.397270
51,82.160005,8.259419
52,92.587123,10.325992
53,36.493134,5.667185
54,31.346595,3.534153
55,88.678781,6.061753
56,120.564481,6.134440
57,49.018749,5.790870
58,81.638218,6.397270
59,120.480455,6.324799
60,86.594086,6.539315
61,63.181460,6.397270
62,29.268242,5.597612
63,29.248143,3.198635
64,141.027769,11.732051
65,127.856673,7.459760
66,132.206998,6.397270
67,152.402586,7.196929
68,149.585399,7.196929
69,94.100355,7.196929
70,153.855937,7.170839
71,114.438303,8.022678
72,186.858637,11.195223
73,114.884190,9.931423
74,91.531051,7.661071
75,176.690582,11.968792
76,22.675516,3.761553
77,55.391059,7.459760
78,24.320553,0.657614
79,140.482211,6.075174
80,108.501467,9.260388
81,109.953539,7.196929
82,124.288244,7.196929
83,63.744526,6.397270
84,88.398952,7.733757
85,121.313372,7.459760
86,98.221707,6.397270
87,30.535021,2.398976
88,123.391826,10.395565
89,139.161777,11.195223
90,86.533278,7.054885
91,169.431794,6.539315
92,162.489600,7.996588
93,127.705742,7.996588
94,199.633024,7.854543
95,154.599326,7.196929
96,97.602694,6.276484
97,49.901699,5.060784
98,23.744637,2.329404
99,174.173393,7.240412
100,174.955305,6.960188
101,74.677656,6.397270
102,211.378310,7.433670
103,177.411511,6.960188
104,87.881044,5.860443
105,192.728465,6.934098
106,157.090932,5.834353
107,207.711809,7.080974
108,55.360907,4.475856
109,22.606348,2.863118
110,130.829539,6.134440
111,6.025771,0.193258
112,73.422437,4.867526
113,138.600112,6.397270
114,172.303560,7.127356
115,35.266866,4.041777
116,34.168185,3.224725
117,122.478547,6.397270
118,171.727159,6.397270
119,150.784501,6.732788
120,170.935261,7.661071
121,233.506061,7.733757
122,150.753726,7.459760
123,156.215144,6.397270
124,100.837302,6.327698
125,47.958221,4.867526
126,152.774896,6.732788
127,193.643488,7.591498
128,175.637681,7.266502
129,222.810332,7.733757
130,173.760784,7.459760
131,289.931859,7.196929
132,288.044901,7.927015
133,115.367317,7.003671
134,97.640145,5.396301
135,100.475966,5.992180
136,106.661013,6.466843
137,124.477868,6.397270
138,97.113212,5.597612
139,85.397668,6.397270
140,106.671191,7.127356
141,91.063317,6.466843
142,161.728285,7.996588
143,65.863945,5.455567
144,-11.809004,0.142045
145,21.197631,1.573228
146,0.000000,0.000000
147,70.348904,4.561212
148,135.918294,7.459760
149,221.199116,8.726674
150,181.503247,7.996588
151,40.042904,4.067867
152,56.451246,4.728380
153,12.287813,4.067867
154,61.370772,5.597612
155,157.274911,7.054885
156,137.156059,6.539315
