day,profit,CO2_captured
1,79.617385,5.127162
2,118.279755,4.999263
3,-8.466307,1.062490
4,61.085947,5.597612
5,34.540139,7.196929
6,72.029040,8.796247
7,69.142256,15.167428
8,93.406862,11.994882
9,67.382210,11.221313
10,44.877746,8.796247
11,87.706620,11.994882
12,63.044687,11.125650
13,22.090379,12.794541
14,114.972153,15.263090
15,-16.508623,4.797953
16,102.928076,12.768451
17,19.835719,9.359165
18,110.314646,15.456348
19,92.174277,11.968792
20,84.442297,13.620290
21,106.938663,15.730345
22,108.703116,14.656690
23,123.549943,14.393859
24,112.498114,15.167428
25,106.364255,14.350376
26,74.943911,11.264796
27,85.698146,13.594200
28,48.253377,7.996588
29,31.191966,11.994882
30,117.350830,11.169133
31,-13.107312,8.822337
32,82.004027,10.325992
33,49.036033,5.667185
34,52.352554,5.597612
35,74.766738,8.726674
36,125.962989,16.062749
37,112.246517,13.594200
38,105.472645,10.395565
39,150.296270,15.993176
40,81.676510,12.794541
41,140.675007,15.193517
42,98.663554,14.393859
43,145.274779,15.993176
44,177.554972,16.650790
45,171.136462,16.065648
46,157.895168,16.062749
47,154.602810,15.051473
48,109.000572,14.535903
49,82.623214,15.193517
50,148.551231,15.529035
51,185.811690,16.457318
52,88.077768,13.594200
53,74.237217,8.796247
54,59.662670,6.397270
55,127.431816,6.397270
56,116.989203,6.732788
57,83.502671,10.060047
58,111.942199,13.524627
59,160.699276,15.263090
60,112.233377,15.529035
61,103.950883,12.995851
62,75.801026,13.857031
63,83.516949,10.932392
64,173.634638,15.456348
65,183.652439,15.967086
66,144.473146,12.020972
67,193.043332,14.393859
68,155.645684,11.994882
69,126.621305,12.794541
70,145.285314,11.195223
71,182.685132,15.993176
72,243.131708,15.993176
73,155.443086,12.330400
74,164.279951,16.387745
75,172.423590,13.663773
76,76.175113,10.395565
77,88.550864,10.731082
78,28.852323,4.320391
79,176.273357,10.537609
80,140.317648,14.393859
81,162.790680,12.531710
82,156.343790,11.388481
83,86.367178,10.000996
84,117.253989,14.058341
85,134.633302,11.125650
86,127.006344,13.199631
87,33.147051,11.659365
88,216.074816,15.967086
89,172.941304,16.019266
90,100.804966,14.131028
91,163.760680,7.459760
92,208.235383,14.393859
93,169.152318,15.193517
