day,profit,CO2_captured
1,76.315784,4.528813
2,63.859531,4.261125
3,12.348831,0.799659
4,31.519187,3.198635
5,50.103256,8.796247
6,79.860981,10.132734
7,64.133829,15.430258
8,82.350313,13.156148
9,104.629086,14.032251
10,24.447173,9.621996
11,111.508850,13.929717
12,57.196666,13.232593
13,3.277569,12.820631
14,140.050825,15.851132
15,16.639776,8.938292
16,80.880087,13.594200
17,6.766983,11.195223
18,207.271600,15.923603
19,83.398183,12.838024
20,89.692633,13.620290
21,96.337224,15.193517
22,924.352522,5.597612
23,1071.792114,14.393859
24,334.935126,14.324286
25,133.873192,15.193517
26,74.648234,11.264796
27,126.203578,13.594200
28,51.353143,7.996588
29,38.517473,11.994882
30,108.613572,11.195223
31,46.094303,10.369475
32,64.551407,9.621996
33,92.901784,5.528039
34,30.379536,4.867526
35,66.753679,7.996588
36,141.191344,15.730345
37,131.396134,13.857031
38,120.249742,12.794541
39,160.399025,15.993176
40,95.648964,12.794541
41,165.439211,15.167428
42,167.411810,15.877221
43,123.526347,15.335562
44,183.852368,16.723262
45,174.522457,15.993176
46,163.698241,16.062749
47,177.815828,15.923603
48,105.846950,13.663773
49,46.534064,11.195223
50,183.814631,15.167428
51,119.255831,13.620290
52,251.137916,12.794541
53,25.153020,7.996588
54,48.296470,4.797953
55,-11.862993,0.000000
56,366.813616,5.455567
57,27.702079,5.739656
58,51.568808,10.395565
59,166.782987,15.193517
60,139.897210,15.193517
61,70.316350,11.195223
62,66.088935,11.994882
63,88.291844,11.732051
64,183.810163,16.229917
65,166.295425,15.993176
66,151.973368,12.020972
67,235.877404,14.367769
68,208.719782,11.994882
69,112.408426,15.219607
70,164.859634,12.794541
71,166.228137,15.993176
72,269.188337,16.792835
73,215.616168,13.594200
74,165.182365,15.923603
75,460.187233,14.463431
76,151.506292,10.325992
77,130.704523,10.800655
78,17.078760,4.797953
79,163.025372,9.797216
80,295.776945,16.256007
81,186.103403,11.195223
82,227.465580,11.852837
83,179.115788,10.537609
84,183.166813,13.594200
85,157.333850,11.994882
86,124.885749,11.530741
87,41.228195,11.659365
88,221.187890,16.650790
89,376.057767,16.135221
90,167.114532,12.794541
91,268.558003,7.196929
92,256.544119,13.594200
93,253.190588,15.529035
94,241.973577,11.659365
95,207.346478,7.733757
96,162.371023,6.660101
97,150.196853,7.196929
98,156.778123,7.854543
99,218.544350,7.875802
100,226.185563,10.658395
101,179.453252,8.533416
102,239.332559,7.459760
103,253.374206,7.854543
104,268.538623,6.276484
105,277.255470,6.660101
106,195.549824,6.255226
107,264.849927,11.874096
108,368.670896,6.397270
109,295.996959,6.634012
110,309.660154,7.223019
111,49.613011,2.256932
112,418.393976,6.539315
113,242.772232,10.395565
114,253.730805,7.733757
115,187.982951,6.660101
116,238.464619,7.127356
117,296.915588,7.803330
118,359.109832,7.795278
119,276.593569,7.661071
120,256.438709,7.996588
121,274.276702,8.533416
122,235.346680,7.795278
123,211.324534,7.661071
124,219.772519,7.733757
125,150.802750,5.860443
126,237.836045,7.927015
127,279.963965,7.602020
128,268.332734,7.996588
129,292.903653,8.391157
130,273.344281,7.803330
131,425.688765,8.259419
132,393.858595,7.196929
133,262.216465,8.796247
134,287.012720,7.996588
135,389.356716,8.770157
136,237.063440,8.822337
137,249.853585,7.996588
138,244.514866,7.927015
139,208.964358,7.266502
140,237.126821,7.733757
141,208.234759,7.459760
142,345.329877,8.796247
143,623.699188,7.996588
144,195.054281,7.196929
145,335.785369,7.196929
146,261.568483,6.397270
147,301.942738,7.532447
148,390.431152,8.434640
149,305.208333,9.157854
150,274.034353,8.391157
151,207.223327,8.602989
152,209.597004,7.459760
153,181.934709,6.732788
154,167.370925,6.397270
155,191.344176,6.861412
156,255.203977,8.332106
157,247.388942,8.318685
158,399.821078,7.338974
159,291.561681,7.196929
160,271.325884,7.196929
161,284.051177,7.996588
162,294.756287,7.927015
163,123.138489,4.867526
164,254.125004,8.796247
165,353.822596,10.253520
166,293.681533,7.338974
167,359.028134,8.654202
168,185.378962,5.739656
169,295.785436,8.796247
170,326.758405,8.796247
171,335.687636,7.996588
172,167.152206,6.397270
173,226.048360,3.998294
174,413.067877,5.571522
175,268.567100,5.623702
176,630.561365,7.170839
177,231.353796,6.423360
178,171.918287,7.196929
179,111.037899,6.397270
180,53.749788,4.797953
181,295.807952,6.397270
182,218.528194,7.970498
183,220.339368,9.957513
184,275.591151,15.657659
185,366.368293,13.130058
186,210.912566,9.260388
187,336.314683,8.796247
188,326.612234,8.332106
189,206.482267,7.661071
190,253.734635,7.196929
191,291.533006,13.130058
192,281.869071,7.661071
193,362.592148,8.533416
194,356.052560,7.795278
195,477.774527,7.996588
196,481.251246,7.996588
197,357.040578,6.861412
198,439.734805,7.996588
