day,profit,CO2_captured
1,85.424729,4.791644
2,94.027584,5.597612
3,26.398577,2.329404
4,81.875438,6.466843
5,118.162405,12.794541
6,63.624385,12.794541
7,113.591794,15.167428
8,127.499996,13.594200
9,126.225243,14.419948
10,83.561611,11.852837
11,106.754752,15.335562
12,100.431886,13.594200
13,50.192660,15.193517
14,170.543232,16.792835
15,21.844472,15.993176
16,115.105418,15.851132
17,42.303523,16.135221
18,150.524195,16.328694
19,110.700758,14.058341
20,100.182330,14.393859
21,136.058757,15.993176
22,131.939143,15.993176
23,182.832990,16.766745
24,104.889756,14.419948
25,119.239307,14.393859
26,117.899936,13.594200
27,94.102265,14.393859
28,130.272780,11.195223
29,42.364070,11.994882
30,109.610871,12.794541
31,25.887574,10.395565
32,51.586849,8.726674
33,71.213834,6.466843
34,51.024086,5.597612
35,112.949970,7.196929
36,169.671632,15.967086
37,154.485432,14.350376
38,90.455516,14.463431
39,179.298635,16.530004
40,138.058646,15.456348
41,163.088615,15.967086
42,136.059337,16.019266
43,188.082331,15.529035
44,205.229117,16.457318
45,168.010876,15.923603
46,178.430881,16.062749
47,211.267104,15.993176
48,189.883168,15.851132
49,177.046505,16.135221
50,109.227123,14.393859
51,211.863438,16.328694
52,180.130651,12.432934
53,65.528275,8.022678
54,73.171764,6.397270
55,105.840758,6.397270
56,81.483787,11.195223
57,149.768122,12.794541
58,195.322882,15.193517
59,176.012884,15.923603
60,171.237625,16.062749
61,129.792580,13.594200
62,140.194017,15.993176
63,92.207643,11.195223
64,221.893275,13.452155
65,170.517111,13.666672
66,156.430735,14.463431
67,174.899742,14.367769
68,151.449275,13.620290
69,157.424786,16.792835
70,148.628860,13.594200
71,192.011050,15.993176
72,262.065593,16.766745
73,198.441105,13.357459
74,182.626241,16.256007
75,269.885509,16.328694
76,195.722698,14.858000
77,196.344872,12.768451
78,156.625962,10.158823
79,233.823452,14.514645
80,182.260646,15.335562
81,225.454007,15.730345
82,201.344818,14.192548
83,172.760544,13.189109
84,111.891513,15.263090
85,156.206348,15.193517
86,187.429874,15.730345
87,172.409104,14.656690
88,263.218617,16.766745
89,193.878901,16.019266
90,135.819520,14.131028
91,147.548159,10.632306
92,160.013634,13.550717
93,174.954230,16.062749
94,105.399287,11.994882
95,182.681687,10.253520
96,191.165336,10.873127
97,167.911232,7.634981
98,24.053196,4.797953
99,161.482907,9.621996
100,190.105764,12.794541
101,199.651282,10.253520
102,122.146316,7.338974
103,152.356278,6.327698
104,116.291863,5.641095
105,146.458745,7.223019
106,194.740117,7.996588
107,177.998580,11.994882
108,207.837074,7.996588
109,218.089336,7.927015
110,197.093694,8.040071
111,164.413550,7.223019
112,157.218794,9.595906
113,197.134878,11.994882
114,172.141313,10.325992
115,120.941564,6.466843
116,86.424504,5.597612
117,170.560510,7.996588
118,174.232985,7.733757
119,155.897285,7.459760
120,161.896003,7.996588
121,186.741544,7.996588
122,149.815832,7.532447
123,165.570126,8.197899
124,103.706235,7.196929
125,44.179586,5.834353
126,74.576341,6.758878
127,191.463379,7.661071
128,163.969976,7.996588
129,190.311033,8.332106
130,170.821952,8.197899
131,185.907814,8.989505
132,16.453743,1.406060
133,15.136461,1.862149
134,22.441668,2.136145
135,39.979123,2.635718
136,89.843707,7.223019
137,92.968023,7.196929
138,76.944141,5.334781
139,168.495512,7.196929
140,144.979034,7.459760
141,35.813962,2.372887
142,114.506610,7.223019
143,53.402134,4.797953
144,106.241653,4.771863
145,86.947464,6.353787
146,0.000000,0.000000
147,51.472578,4.867526
148,164.607843,7.996588
149,254.893699,9.595906
150,187.371564,8.796247
151,126.282379,6.397270
152,72.198648,6.371181
153,20.095493,3.560242
154,79.876432,7.661071
155,180.167779,7.927015
156,126.953795,6.466843
157,74.087353,5.597612
158,41.909894,3.735463
159,12.034417,1.792576
160,0.980877,0.043483
161,45.596509,2.961894
162,1.770737,1.862149
163,88.411885,5.597612
164,136.124916,7.196929
165,185.466728,9.453861
166,-12.496538,1.741362
167,72.463442,4.535122
168,46.644418,3.461466
169,223.251970,10.395565
170,232.670889,9.569816
171,50.783979,7.223019
172,8.458743,3.198635
173,10.298674,3.198635
174,32.877465,3.972204
175,7.762782,4.024384
176,31.573223,7.996588
177,78.613700,6.397270
178,22.455599,5.933129
179,1.914490,2.863118
180,11.844660,1.934835
181,22.136135,3.998294
182,11.182831,5.262094
183,113.447307,13.594200
184,216.459680,14.393859
185,223.415659,13.568110
186,61.909447,11.195223
187,74.848865,12.020972
188,10.650340,8.796247
189,56.083335,7.996588
190,27.247811,7.196929
191,48.580630,4.535122
192,-4.521912,2.661807
193,19.973714,3.129062
194,0.928521,0.043483
195,-26.918553,0.026090
196,26.695447,3.856249
197,6.558451,3.340680
198,-0.307605,0.730086
199,1.768898,0.043483
200,-23.756490,0.026090
201,30.434700,1.336487
202,6.200733,0.193258
203,0.947431,0.043483
204,0.000000,0.000000
205,3.936445,2.425066
206,73.804277,3.735463
207,4.137737,0.120786
208,0.000000,0.000000
209,26.101271,1.715272
210,0.000000,0.000000
211,0.000000,0.000000
212,0.124232,0.026090
213,0.000000,0.000000
214,11.734215,1.573228
215,0.165688,0.026090
216,0.000000,0.000000
217,0.000000,0.000000
218,32.890292,4.797953
219,47.354950,3.172545
220,0.000000,0.000000
221,0.000000,0.000000
222,0.125948,0.026090
223,0.000000,0.000000
224,0.000000,0.000000
225,-20.016173,0.000000
226,-4.651071,0.000000
227,12.708322,0.335517
228,7.124121,0.201310
229,3.867937,0.120786
230,0.000000,0.000000
231,0.000000,0.000000
232,18.846402,3.271107
233,-7.387016,3.603726
234,74.092417,4.320391
235,0.000000,0.000000
236,0.000000,0.000000
237,0.000000,0.000000
238,2.136949,0.072472
239,1.184100,0.069573
240,9.765535,1.599318
241,0.000000,0.000000
242,-25.822553,0.000000
243,26.990552,0.657614
244,274.504023,6.874833
245,0.000000,0.000000
246,35.727115,1.993886
247,0.979754,0.043483
248,7.666894,0.799659
249,0.000000,0.000000
250,0.000000,0.000000
251,0.000000,0.000000
252,0.000000,0.000000
253,0.991035,1.599318
254,0.189329,0.026090
255,0.000000,0.000000
256,1.114772,2.398976
257,15.014349,4.797953
258,79.916178,6.371181
259,38.127403,5.623702
260,145.849934,7.127356
261,73.538117,6.466843
262,34.882905,2.136145
263,-10.082704,3.461466
264,8.135007,3.198635
265,80.075666,6.397270
266,10.534085,4.797953
267,71.892465,6.134440
268,45.311052,5.860443
269,23.711587,3.998294
270,32.503903,2.372887
271,0.000000,0.000000
272,4.933656,3.882339
273,13.980652,6.874833
274,64.337731,4.199605
275,33.525652,5.860443
276,45.209540,3.998294
277,125.049169,5.597612
278,119.873296,6.732788
279,18.838037,3.662777
280,117.063705,5.597612
281,134.068013,6.371181
282,60.320524,5.554129
283,65.848374,4.797953
284,109.801353,6.397270
285,28.674183,3.998294
286,59.246512,6.204012
287,20.578297,1.836059
288,26.655152,7.223019
289,59.618746,6.255226
290,96.460492,5.739656
291,72.853736,4.728380
292,74.356586,6.397270
293,33.144938,6.204012
294,44.501460,6.995619
295,170.953411,14.715955
296,193.996876,12.110837
297,137.864797,9.621996
298,154.044388,10.325992
299,114.983853,9.665479
300,63.468727,6.134440
301,40.062959,5.860443
302,77.896227,6.397270
303,84.115028,6.397270
304,34.316199,4.655908
305,4.097801,3.340680
306,82.563419,5.597612
307,82.244579,4.771863
308,64.607940,4.824043
309,184.235430,6.255226
310,119.359110,5.670083
311,-18.915477,1.668891
312,19.185648,0.657614
313,80.588498,5.739656
314,58.341998,5.455567
315,54.673108,4.939998
316,82.420428,5.455567
317,118.606663,5.597612
318,48.862987,4.913908
319,3.414060,4.024384
320,71.253328,4.797953
321,34.235023,3.998294
322,20.813975,0.773569
323,67.683858,4.797953
324,82.947369,5.159560
325,22.873693,3.662777
326,63.928342,4.655908
327,66.784084,3.998294
328,97.877543,4.797953
329,30.188757,4.140339
330,41.118520,3.998294
331,87.757585,4.728380
332,145.750526,5.641095
333,2.018591,0.825749
334,0.000000,0.000000
335,0.000000,0.000000
336,0.000000,0.000000
337,0.000000,0.000000
338,0.000000,0.000000
339,118.761008,4.797953
340,18.100019,1.599318
341,110.453774,4.655908
342,0.000000,0.000000
343,-1.884016,0.941703
344,8.169501,0.335517
345,8.052559,0.201310
346,0.000000,0.000000
347,4.794186,0.120786
348,0.000000,0.000000
349,0.000000,0.000000
350,0.000000,0.000000
351,0.000000,0.000000
352,0.000000,0.000000
353,2.698158,0.072472
354,0.000000,0.000000
355,-9.327785,0.069573
356,0.000000,0.000000
357,0.000000,0.000000
358,99.179168,3.972204
359,91.189771,4.024384
360,0.000000,0.000000
361,0.000000,0.000000
362,32.835047,3.998294
363,0.000000,0.000000
364,0.000000,0.000000
365,0.000000,0.000000
