day,profit,CO2_captured
1,68.663892,3.922412
2,42.831263,4.067867
3,5.348124,0.799659
4,42.752669,2.935804
5,6.861818,2.997325
6,62.156010,3.593204
7,-2.601863,3.268208
8,56.241843,5.334781
9,65.099748,5.060784
10,-3.751443,3.198635
11,70.610832,5.597612
12,23.492321,3.928721
13,-24.102544,0.069573
14,91.423756,7.927015
15,0.000000,0.000000
16,43.487303,4.841436
17,0.000000,0.000000
18,45.300871,0.026090
19,65.424503,7.170839
20,67.830836,5.554129
21,2.451627,0.069573
22,884.834057,5.597612
23,1044.865008,6.134440
24,263.872748,5.834353
25,81.830721,5.481657
26,51.537215,5.739656
27,77.569735,5.597612
28,26.500951,4.797953
29,3.847060,0.799659
30,117.446072,6.327698
31,-20.826412,0.069573
32,59.439880,5.597612
33,77.300574,5.455567
34,21.984898,4.475856
35,42.746840,5.262094
36,94.250314,6.397270
37,123.415775,6.134440
38,76.735737,5.860443
39,106.673982,7.054885
40,57.338107,5.739656
41,75.190934,7.196929
42,113.693114,6.397270
43,93.431073,7.196929
44,106.952376,10.253520
45,107.989509,9.595906
46,89.329376,12.936586
47,113.959956,10.395565
48,81.337957,7.532447
49,30.655143,1.993886
50,113.142070,6.397270
51,64.130389,7.240412
52,229.970838,9.621996
53,4.275410,2.329404
54,10.884274,3.005377
55,14.495509,1.036400
56,314.706642,4.824043
57,24.210214,1.599318
58,50.646859,3.056591
59,116.229260,6.276484
60,100.413441,6.660101
61,31.522306,3.172545
62,8.802694,3.224725
63,31.818208,7.196929
64,133.706463,11.852837
65,114.652726,7.338974
66,132.339152,6.397270
67,189.028553,7.196929
68,178.646711,7.196929
69,116.908453,6.934098
70,129.168260,6.660101
71,110.570224,7.996588
72,187.698426,11.195223
73,215.892619,10.253520
74,74.261668,7.338974
75,435.949004,10.395565
76,120.082080,3.735463
77,92.445683,6.660101
78,27.643493,0.730086
79,139.422448,5.667185
80,215.223128,9.595906
81,181.550226,7.196929
82,183.077877,6.934098
83,136.980240,6.660101
84,172.640941,7.196929
85,101.628179,6.397270
86,145.262360,7.170839
87,4.110881,3.082680
88,142.036474,12.136927
89,325.694260,10.395565
90,129.435862,7.996588
91,290.936127,7.733757
92,198.279233,9.394595
93,225.860891,9.918002
94,218.970184,7.196929
95,164.718968,7.338974
96,157.269200,7.196929
97,128.803711,6.732788
98,104.122848,6.861412
99,217.128313,7.854543
100,204.706378,7.338974
101,147.373568,7.196929
102,252.515051,7.733757
103,212.137865,7.317716
104,259.909034,5.670083
105,255.465323,6.466843
106,187.909589,6.255226
107,242.346554,8.069060
108,334.642574,5.667185
109,280.624740,6.397270
110,295.734168,7.196929
111,44.069579,1.599318
112,403.243975,6.397270
113,227.167043,7.996588
114,243.217077,7.733757
115,189.332912,6.660101
116,184.782844,6.732788
117,274.348856,7.661071
118,340.285556,7.996588
119,259.082108,7.996588
120,258.552896,7.733757
121,232.467256,7.459760
122,240.702669,7.733757
123,185.219390,7.459760
124,205.480201,7.733757
125,139.697706,5.860443
126,226.525887,7.927015
127,271.176055,7.602020
128,273.383922,8.197899
129,270.674110,8.189846
130,259.834952,7.803330
131,421.499315,8.259419
132,360.966192,7.196929
133,243.815719,7.996588
134,274.981028,7.054885
135,355.111285,7.875802
136,246.953936,7.459760
137,241.670842,7.733757
138,205.851978,7.433670
139,191.164270,7.223019
140,211.216595,7.196929
141,203.151224,7.196929
142,316.291062,8.796247
143,608.274965,7.996588
144,172.089063,7.196929
145,309.106428,7.196929
146,248.158526,6.397270
147,273.098818,7.196929
148,370.376764,7.996588
149,291.671405,8.796247
150,237.330301,7.996588
151,197.561333,7.996588
152,192.412859,7.196929
153,162.229527,6.397270
154,160.322283,6.134440
155,178.475599,6.995619
156,229.495049,8.197899
157,207.713136,7.459760
158,361.726409,7.196929
159,273.999431,7.196929
160,244.922774,7.196929
161,252.789236,7.996588
162,246.176114,7.196929
163,156.577383,5.528039
164,226.260478,8.040071
165,293.597325,9.359165
166,271.262957,7.459760
167,318.314556,8.332106
168,173.967525,6.061753
169,272.994659,8.796247
170,289.703237,8.796247
171,306.383891,7.996588
172,137.237564,5.597612
173,211.197798,3.534153
174,382.957878,5.236004
175,244.952424,5.623702
176,606.772532,7.170839
177,219.850063,6.758878
178,131.055583,6.061753
179,108.893197,5.528039
180,15.126364,4.067867
181,291.574951,6.934098
182,178.060045,7.433670
183,206.448389,7.759847
184,244.929455,9.595906
185,335.913177,10.658395
186,175.844084,7.196929
187,304.583239,7.927015
188,301.632909,7.602020
189,199.152205,7.634981
190,212.708043,7.223019
191,246.818315,7.996588
192,254.659086,7.996588
193,329.391702,7.733757
194,327.262721,7.795278
195,444.180109,7.996588
196,448.827864,7.996588
197,328.336362,6.861412
198,410.065242,7.996588
199,131.067542,4.535122
200,162.435437,5.790870
201,229.484738,7.196929
202,952.082991,9.665479
203,204.169947,7.196929
204,197.670934,6.397270
205,228.762934,7.196929
206,221.822216,7.970498
207,163.672508,6.423360
208,254.669814,7.196929
209,272.334407,5.597612
210,160.127303,5.455567
211,32.186702,1.741362
212,283.443946,3.998294
213,294.961691,3.998294
214,322.260961,4.797953
215,185.493636,5.597612
216,94.941072,3.998294
217,72.231625,1.336487
218,198.323786,6.660101
219,368.541500,7.196929
220,194.014003,6.397270
221,236.756809,6.934098
222,200.086218,6.660101
223,285.517587,7.196929
224,180.137623,7.196929
225,275.123096,7.170839
226,170.779605,6.758878
227,156.733646,5.192521
228,160.484811,4.867526
229,116.003914,2.935804
230,153.892787,5.860443
231,158.473373,6.397270
232,177.796735,6.397270
233,307.371707,7.733757
234,371.619099,7.459760
235,152.388842,6.397270
236,138.932178,5.528039
237,117.425628,5.203043
238,160.459825,6.397270
239,172.052457,6.719367
240,168.577908,7.338974
241,175.320618,7.054885
242,143.222409,6.469742
243,143.391538,6.324799
244,163.728637,6.469742
245,187.125724,6.466843
246,148.278391,6.397270
247,162.032943,6.255226
248,176.341534,4.913908
249,355.848308,3.224725
250,165.923326,3.998294
251,139.449870,4.797953
252,71.862619,2.398976
253,48.463823,1.599318
254,137.097575,4.535122
255,183.339379,5.860443
256,119.724535,4.797953
257,183.440421,6.397270
258,165.427533,6.327698
259,136.503233,6.466843
260,155.477446,6.732788
261,79.902794,3.662777
262,-14.592460,0.000000
263,130.267292,4.797953
264,146.649308,5.933129
265,171.689610,6.861412
266,162.600492,6.397270
267,193.309626,7.170839
268,129.344563,5.623702
269,169.800639,6.255226
270,155.961736,6.539315
271,183.344179,7.196929
272,155.466005,6.255226
273,145.473735,6.075174
274,171.895132,6.719367
275,160.840511,6.397270
276,133.478309,5.739656
277,126.964697,5.597612
278,164.810578,6.371181
279,118.039807,5.623702
280,153.414971,6.134440
281,120.368041,5.396301
282,152.416308,6.061753
283,160.268755,5.597612
284,139.942727,6.397270
285,180.807419,6.255226
286,137.936478,5.670083
287,124.798168,5.667185
288,135.825315,5.528039
289,121.142822,5.667185
290,106.032897,5.334781
291,96.349073,4.261125
292,168.192185,5.597612
293,79.856864,3.998294
294,138.488640,5.933129
295,74.808148,3.399946
296,161.695618,5.860443
297,152.201791,5.597612
298,126.716315,5.455567
299,132.071665,5.476825
300,122.762662,5.396301
301,74.361134,3.662777
302,106.604203,4.797953
303,151.513190,5.455567
304,1.940605,0.072472
305,0.000000,0.000000
306,-25.414110,0.069573
307,172.563598,5.334781
308,48.139359,1.599318
309,38.500795,1.036400
310,0.000000,0.000000
311,-11.794532,0.026090
312,21.598989,0.536828
313,29.192511,3.461466
314,106.420919,5.133470
315,27.624253,2.063459
316,112.589136,3.998294
317,118.176891,5.571522
318,17.461401,2.425066
319,39.114114,2.398976
320,43.472863,4.333811
321,60.730279,4.462435
322,45.176680,2.329404
323,26.041578,3.242118
324,31.306419,3.198635
325,0.000000,0.000000
326,0.134208,0.026090
327,25.521307,1.529745
328,-18.414924,0.069573
329,23.962183,1.529745
330,0.867458,0.043483
331,16.763848,2.162235
332,-8.025615,0.262831
333,98.884231,4.771863
334,0.142581,0.026090
335,0.000000,0.000000
336,0.000000,0.000000
337,0.000000,0.000000
338,0.000000,0.000000
339,0.000000,0.000000
340,-23.713082,0.000000
341,21.019070,0.536828
342,0.000000,0.000000
343,4.213050,0.120786
344,0.000000,0.000000
345,32.876577,1.478531
346,19.333630,0.799659
347,32.530451,0.799659
348,0.000000,0.000000
349,0.000000,0.000000
350,0.000000,0.000000
351,0.000000,0.000000
352,0.000000,0.000000
353,0.000000,0.000000
354,0.000000,0.000000
355,0.000000,0.000000
356,0.000000,0.000000
357,0.000000,0.000000
358,0.000000,0.000000
359,0.000000,0.000000
360,0.000000,0.000000
361,0.000000,0.000000
362,58.602336,4.235035
363,0.000000,0.000000
364,0.000000,0.000000
365,0.000000,0.000000
