day,profit,CO2_captured
1,115.376028,15.986867
2,100.065481,13.568110
3,33.133649,6.397270
4,2.035224,4.024384
5,81.772923,8.796247
6,73.035363,8.796247
7,3.581188,1.599318
8,41.255401,3.056591
9,162.582845,15.335562
10,86.159902,9.595906
11,5.143361,1.599318
12,55.165688,9.595906
13,53.877093,4.797953
14,6.189234,1.573228
15,-18.017127,0.026090
16,20.613740,0.773569
17,18.909969,4.824043
18,75.988623,10.731082
19,12.160953,0.322097
20,109.000256,0.142045
21,0.000000,0.000000
22,12.759487,0.335517
23,7.373651,0.201310
24,0.000000,0.000000
25,4.400841,0.120786
26,0.000000,0.000000
27,2.243051,0.072472
28,0.000000,0.000000
29,0.000000,0.000000
30,1.205697,0.043483
31,0.000000,0.000000
32,16.376101,4.824043
33,74.935788,9.453861
34,19.603734,4.140339
35,30.094065,2.329404
36,0.000000,0.000000
37,1.559639,0.869232
38,-4.989566,3.198635
39,31.042231,6.397270
40,23.805739,5.597612
41,25.991202,9.931423
42,48.363719,14.058341
43,83.789129,13.594200
44,39.460609,4.771863
45,0.000000,0.000000
46,-23.369426,0.026090
47,35.467270,9.595906
48,46.217367,12.794541
49,-0.924205,0.000000
50,41.791924,3.998294
51,96.888931,9.526333
52,86.073420,12.864114
53,23.979706,9.595906
54,80.876429,11.994882
55,16.810886,6.371181
56,0.239299,0.026090
57,-11.751933,2.398976
58,30.558368,11.195223
59,25.249488,5.334781
60,-14.888502,1.862149
61,41.392602,11.994882
62,64.946004,13.594200
63,35.811118,9.595906
64,63.957480,15.193517
65,198.972633,15.193517
66,22.507650,8.796247
67,30.807408,8.332106
68,30.287063,5.236004
69,25.064705,6.397270
70,18.110707,12.020972
71,75.852069,10.395565
72,80.244566,11.530741
73,54.988734,11.659365
74,40.821486,11.195223
75,70.727618,13.331369
76,80.499754,14.630600
77,62.142906,15.219607
78,99.417151,12.330400
79,108.783983,16.315273
80,50.940091,12.673755
81,32.236199,10.658395
82,59.569444,11.994882
83,133.633183,11.994882
84,31.184509,9.595906
85,106.770512,11.852837
86,110.197137,11.337268
87,37.992370,8.796247
88,109.927821,10.395565
89,39.601390,7.996588
90,222.454896,15.993176
91,101.366317,11.053179
92,53.292160,11.994882
93,-5.308551,6.539315
94,17.455349,2.256932
95,16.426506,2.514931
96,25.622262,6.281316
97,17.598855,3.340680
98,39.011098,6.397270
99,85.673096,7.196929
100,248.302741,15.967086
101,81.120495,10.395565
102,84.346466,12.020972
103,96.149040,11.195223
104,237.943483,15.993176
105,231.644333,15.993176
106,139.604933,14.131028
107,70.731572,10.658395
108,106.155706,10.395565
109,147.647396,9.595906
110,38.922553,6.397270
111,116.656178,11.994882
112,156.053196,13.594200
113,185.903699,14.393859
114,297.282664,15.967086
115,128.431531,11.221313
116,31.322745,5.597612
117,177.571601,10.325992
118,207.372871,15.263090
119,173.278348,13.594200
120,230.378626,16.328694
121,287.803080,16.457318
122,200.348459,15.193517
123,170.190841,14.393859
124,141.403443,14.393859
125,184.402621,14.324286
126,175.045346,13.594200
127,249.033895,16.036659
128,223.008361,16.019266
129,159.918732,14.393859
130,195.191230,13.594200
131,259.751115,12.794541
132,99.252823,10.395565
133,86.732758,5.133470
134,91.267904,6.861412
135,71.713141,6.397270
136,120.613277,9.526333
137,207.449645,16.062749
138,75.466176,6.397270
139,52.203868,5.334781
140,130.446606,11.458054
141,114.516188,10.731082
142,98.479314,12.459024
143,75.912055,7.996588
144,96.517537,9.595906
145,207.158956,14.930686
146,188.050142,15.456348
147,57.735199,5.597612
148,35.076843,1.599318
149,55.108691,4.797953
150,53.540271,3.998294
151,59.081175,3.856249
152,-11.788227,0.941703
153,26.263709,0.799659
154,-0.993503,1.336487
155,104.574708,12.257713
156,88.352563,7.127356
157,-6.777752,0.869232
158,21.936444,0.730086
159,39.747334,2.442459
160,6.326918,0.799659
161,34.564994,4.824043
162,10.931499,2.329404
163,83.106578,6.440754
164,0.000000,0.000000
165,5.385868,1.625407
166,15.760395,0.536828
167,0.000000,0.000000
168,7.615517,0.262831
169,145.661443,13.594200
170,248.236790,15.993176
171,80.883855,6.732788
172,32.423264,4.462435
173,-6.710066,0.000000
174,20.906128,0.730086
175,0.880239,0.043483
176,0.000000,0.000000
177,0.669426,0.799659
178,-21.344508,0.026090
179,40.351800,2.398976
180,-7.786849,1.934835
181,7.391245,0.201310
182,6.008169,0.193258
183,2.331911,2.468549
184,27.272875,2.398976
185,-7.182057,7.196929
186,26.554796,3.735463
187,-2.725957,0.598348
188,7.735884,0.201310
189,4.156727,0.120786
190,-9.655388,0.941703
191,0.103727,0.000000
192,13.434039,0.335517
193,0.000000,0.000000
194,0.000000,0.000000
195,7.640400,0.201310
196,4.168426,0.120786
197,0.000000,0.000000
198,3.138114,0.115955
199,-9.171962,2.425066
200,36.508287,3.856249
201,1.824261,3.340680
202,24.954526,3.998294
203,24.297937,2.329404
204,0.000000,0.000000
205,-12.788747,0.069573
206,33.017217,2.256932
207,2.126724,0.072472
208,0.000000,0.000000
209,0.000000,0.000000
210,-13.016770,0.069573
211,18.621184,0.730086
212,9.398474,0.843142
213,0.000000,0.000000
214,0.000000,0.000000
215,0.366030,0.026090
216,-16.523988,0.000000
217,15.828922,0.730086
218,0.711780,0.069573
219,5.920567,0.773569
220,0.000000,0.000000
221,1.745989,0.026090
222,0.000000,0.000000
223,0.000000,0.000000
224,0.000000,0.000000
225,3.688997,0.536828
226,0.000000,0.000000
227,6.491948,0.193258
228,0.846671,0.043483
229,0.000000,0.000000
230,0.000000,0.000000
231,4.527508,0.361607
232,7.119866,0.201310
233,3.894396,0.120786
234,0.000000,0.000000
235,5.575480,0.072472
236,-8.963517,0.069573
237,20.411801,0.536828
238,12.724303,1.036400
239,0.000000,0.000000
240,0.213174,0.026090
241,0.000000,0.000000
242,-14.783666,0.000000
243,10.137727,0.536828
244,-15.149407,0.262831
245,50.476982,1.457273
246,0.000000,0.000000
247,0.000000,0.000000
248,0.000000,0.000000
249,0.000000,0.000000
250,0.000000,0.000000
251,1.871228,0.072472
252,6.071412,0.606401
253,44.378025,4.261125
254,54.702747,5.597612
255,26.497220,0.773569
256,-0.586841,0.562918
257,0.150684,1.062490
258,18.930241,0.657614
259,0.000000,0.000000
260,15.750720,1.599318
261,67.964574,5.597612
262,3.453114,0.142045
263,-21.897620,0.000000
264,16.052787,2.398976
265,80.153225,11.195223
266,122.571783,15.193517
267,38.554407,11.994882
268,88.284314,13.524627
269,55.594513,12.864114
270,81.951670,9.931423
271,12.400765,6.861412
272,23.898938,3.998294
273,27.029271,6.327698
274,50.481995,13.663773
275,111.433772,13.594200
276,15.962817,4.797953
277,15.232689,2.935804
278,-12.315027,2.661807
279,52.653850,4.771863
280,-1.271012,1.625407
281,5.669630,2.398976
282,42.903310,8.796247
283,161.804659,12.794541
284,86.139603,11.195223
285,95.233773,11.053179
286,1.892615,5.739656
287,24.456349,4.535122
288,115.783230,13.392889
289,29.262816,8.460729
