day,profit,CO2_captured
1,178.563169,15.986867
2,154.537070,15.923603
3,63.235530,7.266502
4,39.398566,7.996588
5,104.613272,8.796247
6,116.787787,9.595906
7,21.821572,6.397270
8,56.991183,8.533416
9,222.828200,15.456348
10,159.781764,12.794541
11,-3.440777,2.398976
12,92.112064,10.395565
13,72.514441,9.131764
14,33.437467,4.320391
15,-11.090118,0.941703
16,-2.093401,0.799659
17,82.699945,9.595906
18,133.744829,12.330400
19,15.209146,0.394568
20,109.731155,0.069573
21,0.000000,0.000000
22,11.853651,1.599318
23,20.617368,2.935804
24,7.304604,0.236741
25,-7.037335,2.425066
26,20.292597,0.773569
27,-9.504737,2.425066
28,10.714392,0.536828
29,0.000000,0.000000
30,4.473521,0.120786
31,0.000000,0.000000
32,65.545296,7.196929
33,104.793572,11.337268
34,55.314979,9.595906
35,45.127066,5.597612
36,2.457404,6.397270
37,10.450459,6.397270
38,47.451418,7.196929
39,70.190146,8.332106
40,69.858951,10.859706
41,72.344759,12.652496
42,113.857813,15.335562
43,147.077833,15.730345
44,29.648967,8.259419
45,23.873537,1.599318
46,3.745090,2.256932
47,59.580062,12.136927
48,106.855208,15.193517
49,54.490015,10.395565
50,93.472895,5.571522
51,108.758663,10.421654
52,116.935459,13.594200
53,84.984896,11.195223
54,111.114410,14.393859
55,82.086720,11.968792
56,0.912346,0.799659
57,10.930817,4.024384
58,95.381313,14.367769
59,25.793998,8.358195
60,19.179276,5.262094
61,109.789221,15.967086
62,107.966472,15.219607
63,107.795942,14.930686
64,119.426462,14.992207
65,237.068998,15.657659
66,75.107787,14.393859
67,78.788971,14.393859
68,55.232759,13.594200
69,88.843418,14.393859
70,122.403978,15.851132
71,138.789189,13.666672
72,104.886032,12.864114
73,111.224073,14.393859
74,122.693206,15.529035
75,104.159465,15.657659
76,160.768396,15.967086
77,122.668479,15.219607
78,145.180824,15.993176
79,176.010733,16.766745
80,107.505523,14.419948
81,78.074378,12.794541
82,121.770984,15.193517
83,196.808813,14.131028
84,97.918446,13.714986
85,126.989329,14.273072
86,169.864475,15.386775
87,76.014032,10.465137
88,163.057225,11.994882
89,104.846482,11.994882
90,265.243083,15.993176
91,147.067752,13.331369
92,101.434892,16.256007
93,47.668586,12.794541
94,50.018948,10.325992
95,29.776787,4.867526
96,58.003811,7.054885
97,52.433740,6.539315
98,77.859930,10.395565
99,116.952375,8.332106
100,302.888162,16.431228
101,117.319223,15.219607
102,160.074042,13.594200
103,163.241157,14.729376
104,300.119159,16.457318
105,273.510791,15.993176
106,199.262255,15.993176
