day,profit,CO2_captured
1,65.964929,4.791644
2,86.471730,5.334781
3,-12.691280,1.062490
4,74.487803,4.797953
5,73.950942,7.996588
6,34.933158,4.797953
7,39.893283,4.797953
8,71.438363,8.796247
9,102.388964,6.397270
10,47.523787,5.334781
11,75.046185,5.860443
12,45.420623,4.797953
13,-2.548433,0.799659
14,97.318700,8.726674
15,0.908617,0.043483
16,36.119621,5.159560
17,12.325695,4.462435
18,63.848296,7.196929
19,70.003510,7.854543
20,68.027535,5.476825
21,64.027640,5.860443
22,92.054637,10.132734
23,86.092712,5.860443
24,59.460911,6.397270
25,65.048463,5.597612
26,71.678429,6.397270
27,61.150755,6.397270
28,96.076312,5.597612
29,4.541929,3.998294
30,99.157142,6.255226
31,-14.840947,0.142045
32,15.966353,2.734494
33,70.359948,5.597612
34,43.984878,5.120050
35,94.723395,5.713566
36,115.676864,6.423360
37,119.868487,6.397270
38,71.530272,6.134440
39,100.814661,6.518057
40,50.595024,6.539315
41,117.908150,10.369475
42,64.068664,10.421654
43,111.696290,11.195223
44,118.701953,14.393859
45,113.150232,14.131028
46,110.021125,15.456348
47,133.851457,11.994882
48,151.735709,9.453861
49,111.369385,7.269401
50,81.996764,5.525140
51,108.591960,9.737950
52,127.654541,9.595906
53,68.210696,4.728380
54,23.462557,5.667185
55,114.913992,6.255226
56,49.639173,5.275515
57,132.878783,6.719367
58,122.135949,6.276484
59,125.926492,6.397270
60,120.581346,7.795278
61,78.612304,5.236004
62,73.082963,6.423360
63,46.571765,9.931423
64,155.655796,11.659365
65,130.577006,7.196929
66,153.111712,7.196929
67,88.493261,6.397270
68,147.531645,7.196929
69,99.676832,7.196929
70,146.421806,7.127356
71,120.185743,7.266502
72,205.363017,13.568110
73,133.163897,10.421654
74,136.274504,9.595906
75,201.359741,12.794541
76,155.438545,9.131764
77,148.405590,9.918002
78,127.958118,5.739656
79,181.547425,13.452155
80,147.673978,11.994882
81,137.105969,8.938292
82,179.848825,7.927015
83,107.939771,7.266502
84,92.963048,7.996588
85,123.966853,7.196929
86,120.799271,7.996588
87,135.205097,7.970498
88,167.734139,12.820631
89,173.402426,11.169133
90,68.950547,6.423360
91,117.638307,7.196929
92,132.122129,7.927015
93,127.361983,8.865820
94,95.872782,7.733757
95,128.748552,7.459760
96,186.101760,8.533416
97,108.694627,6.660101
98,31.312362,3.056591
99,159.947752,7.996588
100,142.568308,7.338974
101,155.418611,7.196929
102,125.116134,7.996588
103,122.373316,5.933129
104,113.637804,6.035663
105,133.285856,6.758878
106,164.032771,7.661071
107,172.240058,7.733757
108,171.213380,7.459760
109,205.424197,7.970498
110,155.611639,7.223019
111,188.202161,7.854543
112,129.125736,7.196929
113,160.409301,8.138633
114,142.885327,7.196929
115,113.958686,6.397270
116,81.710316,5.933129
117,161.960286,7.519026
118,151.613429,7.312884
119,120.991000,6.423360
120,172.156058,7.996588
121,199.133528,7.927015
122,129.017932,7.240412
123,142.565582,7.080974
124,70.568420,6.539315
125,29.546018,4.797953
126,98.726623,7.127356
127,170.770941,7.266502
128,178.550195,7.970498
129,147.417657,7.223019
130,171.773991,7.970498
131,139.340009,7.223019
132,22.900226,1.599318
133,14.258675,1.599318
134,32.502726,1.573228
135,28.915143,2.398976
136,106.573731,7.153446
137,59.007168,6.466843
138,69.203296,4.655908
139,150.627630,7.196929
140,127.837263,7.674491
141,12.896248,2.398976
142,142.749017,7.661071
143,16.185226,3.998294
144,92.754969,4.771863
145,66.633937,4.824043
146,0.000000,0.000000
147,58.910740,3.928721
148,133.981982,7.266502
149,202.077714,8.796247
150,170.018829,7.996588
151,149.313087,6.397270
152,21.463417,2.398976
153,41.287829,3.198635
154,53.017582,5.597612
155,158.945326,7.927015
156,118.947600,6.466843
157,77.011340,5.528039
158,-4.743932,1.668891
159,20.868857,0.657614
160,0.000000,0.000000
161,28.552848,2.076880
162,6.101550,1.263800
163,75.274076,4.728380
164,135.267827,7.196929
165,114.978639,7.266502
166,4.845321,0.799659
167,45.274248,3.198635
168,49.175462,3.198635
169,206.223038,8.796247
170,187.048013,8.726674
171,32.995577,5.203043
172,21.289169,1.921414
173,0.000000,0.000000
174,3.954063,0.872131
175,17.838084,1.668891
176,-11.305133,3.198635
177,65.314047,4.797953
178,-5.734311,2.398976
179,12.735709,0.335517
180,0.000000,0.000000
181,25.052424,2.863118
182,2.517252,1.529745
183,85.463704,8.066161
184,162.761160,10.932392
185,148.845891,12.257713
186,24.488817,6.397270
187,46.384083,7.196929
188,35.920347,4.771863
189,-3.573055,4.024384
190,20.414882,5.597612
191,41.442033,3.972204
192,0.199172,0.026090
193,0.000000,0.000000
194,0.000000,0.000000
195,0.000000,0.000000
196,0.000000,0.000000
197,0.000000,0.000000
198,0.000000,0.000000
199,0.000000,0.000000
200,0.000000,0.000000
201,9.106755,0.799659
202,0.000000,0.000000
203,0.000000,0.000000
204,0.000000,0.000000
205,-16.356754,0.000000
206,80.810154,3.856249
207,2.081356,0.072472
208,0.000000,0.000000
209,17.833059,1.642801
210,0.000000,0.000000
211,0.000000,0.000000
212,0.000000,0.000000
213,0.000000,0.000000
214,5.861239,0.825749
215,0.000000,0.000000
216,0.000000,0.000000
217,0.000000,0.000000
218,13.436236,3.998294
219,40.271976,3.172545
220,0.000000,0.000000
221,0.000000,0.000000
222,0.000000,0.000000
223,0.000000,0.000000
224,0.000000,0.000000
225,0.291880,0.026090
226,0.000000,0.000000
227,0.000000,0.000000
228,0.000000,0.000000
229,0.000000,0.000000
230,0.000000,0.000000
231,0.000000,0.000000
232,0.262258,1.336487
233,0.000000,0.000000
234,53.454066,4.191552
235,0.000000,0.000000
236,0.000000,0.000000
237,0.000000,0.000000
238,0.000000,0.000000
239,0.000000,0.000000
240,6.071911,0.799659
241,0.000000,0.000000
242,0.000000,0.000000
243,-10.809588,0.069573
244,248.694815,6.732788
245,0.000000,0.000000
246,27.651689,2.037369
247,0.000000,0.000000
248,3.116265,0.799659
249,0.000000,0.000000
250,0.000000,0.000000
251,0.000000,0.000000
252,0.000000,0.000000
253,0.137594,0.026090
254,0.000000,0.000000
255,0.000000,0.000000
256,-4.606001,1.135176
257,21.385246,2.063459
258,20.625094,4.797953
259,31.022972,3.998294
260,136.630746,7.127356
261,70.096341,6.002702
262,16.525904,1.000969
263,0.000000,0.000000
264,8.474720,1.036400
265,51.348486,4.824043
266,11.246324,2.372887
267,4.755870,3.224725
268,65.761818,4.728380
269,-3.116453,3.268208
270,17.455692,1.573228
271,0.000000,0.000000
272,0.216340,0.026090
273,1.528930,2.256932
274,22.342657,3.340680
275,40.183819,4.797953
276,48.217503,3.129062
277,83.684739,4.867526
278,108.980893,6.255226
279,9.390482,1.599318
280,104.650305,5.670083
281,85.834170,5.667185
282,41.035479,4.797953
283,24.024857,3.198635
284,107.866968,5.597612
285,15.647518,2.329404
286,19.024867,5.667185
287,30.144933,1.529745
288,-13.356264,1.668891
